Site,Date,Time,Parameter,Value
CUS,2/7/2020,4:00,SO2,-0.97
CUS,10/14/2020,2:00,SO2,-0.84
CUS,4/15/2020,4:00,SO2,-0.76
CUS,2/3/2020,4:00,SO2,-0.72
CUS,11/12/2020,5:00,SO2,-0.71
CUS,2/18/2020,4:00,SO2,-0.70
CUS,11/13/2020,4:00,SO2,-0.68
CUS,12/14/2020,4:00,SO2,-0.68
CUS,1/3/2020,5:00,SO2,-0.67
CUS,12/23/2020,1:00,SO2,-0.67
CUS,10/12/2020,8:00,SO2,-0.67
CUS,2/26/2021,4:00,SO2,-0.67
CUS,1/10/2020,4:00,SO2,-0.66
CUS,2/4/2020,1:00,SO2,-0.65
CUS,11/10/2020,4:00,SO2,-0.65
CUS,1/19/2020,23:00,SO2,-0.64
CUS,2/17/2020,23:00,SO2,-0.63
CUS,1/22/2020,4:00,SO2,-0.63
CUS,1/30/2020,4:00,SO2,-0.62
CUS,12/5/2020,14:00,SO2,-0.61
CUS,2/11/2020,4:00,SO2,-0.60
CUS,6/8/2020,1:00,SO2,-0.60
CUS,2/6/2020,4:00,SO2,-0.59
CUS,12/16/2020,4:00,SO2,-0.59
CUS,2/1/2020,5:00,SO2,-0.58
CUS,1/9/2020,4:00,SO2,-0.58
CUS,2/26/2021,17:00,SO2,-0.58
CUS,5/3/2020,3:00,NOx,-0.57
CUS,3/3/2020,19:00,SO2,-0.57
CUS,2/21/2020,1:00,SO2,-0.56
CUS,1/11/2020,23:00,SO2,-0.56
CUS,1/28/2021,4:00,SO2,-0.56
CUS,4/24/2020,22:00,SO2,-0.55
CUS,9/18/2020,22:00,SO2,-0.55
CUS,5/25/2020,3:00,NO,-0.54
CUS,5/27/2020,1:00,SO2,-0.54
CUS,2/19/2020,23:00,SO2,-0.54
CUS,2/14/2020,4:00,SO2,-0.53
CUS,2/21/2020,23:00,SO2,-0.53
CUS,1/29/2020,4:00,SO2,-0.53
CUS,7/19/2020,5:00,SO2,-0.53
CUS,12/1/2020,18:00,SO2,-0.53
CUS,2/1/2020,15:00,SO2,-0.52
CUS,1/31/2020,19:00,SO2,-0.52
CUS,12/25/2020,18:00,SO2,-0.52
CUS,1/27/2020,4:00,SO2,-0.52
CUS,2/9/2020,19:00,SO2,-0.52
CUS,1/21/2020,4:00,SO2,-0.52
CUS,2/21/2021,2:00,SO2,-0.51
CUS,3/28/2020,1:00,NO,-0.51
CUS,1/8/2020,4:00,SO2,-0.51
CUS,4/9/2020,2:00,NO,-0.50
CUS,3/22/2020,5:00,SO2,-0.49
CUS,5/25/2020,2:00,NO,-0.49
CUS,8/23/2020,7:00,SO2,-0.48
CUS,4/16/2020,16:00,SO2,-0.48
CUS,6/18/2020,6:00,SO2,-0.47
CUS,3/22/2020,23:00,SO2,-0.46
CUS,3/3/2020,5:00,SO2,-0.46
CUS,12/20/2020,4:00,SO2,-0.46
CUS,3/1/2020,17:00,SO2,-0.46
CUS,2/25/2020,0:00,SO2,-0.46
CUS,11/9/2020,23:00,SO2,-0.45
CUS,3/10/2020,4:00,SO2,-0.44
CUS,1/28/2020,23:00,SO2,-0.44
CUS,2/24/2020,4:00,SO2,-0.44
CUS,2/1/2020,20:00,SO2,-0.43
CUS,9/17/2020,2:00,SO2,-0.43
CUS,9/21/2020,4:00,SO2,-0.43
CUS,12/16/2020,23:00,SO2,-0.43
CUS,2/27/2021,4:00,SO2,-0.43
CUS,10/12/2020,4:00,SO2,-0.43
CUS,11/9/2020,21:00,SO2,-0.43
CUS,1/22/2021,4:00,SO2,-0.43
CUS,2/23/2020,5:00,SO2,-0.43
CUS,1/27/2020,1:00,SO2,-0.42
CUS,3/28/2020,22:00,SO2,-0.42
CUS,2/1/2020,23:00,SO2,-0.42
CUS,1/31/2020,4:00,SO2,-0.42
CUS,8/23/2020,14:00,SO2,-0.42
CUS,2/9/2020,20:00,SO2,-0.41
CUS,11/11/2020,23:00,SO2,-0.41
CUS,2/18/2020,20:00,SO2,-0.41
CUS,2/8/2020,4:00,SO2,-0.41
CUS,2/9/2020,5:00,SO2,-0.41
CUS,1/9/2021,23:00,SO2,-0.40
CUS,1/18/2020,4:00,SO2,-0.40
CUS,12/5/2020,4:00,SO2,-0.40
CUS,2/23/2021,4:00,SO2,-0.40
CUS,2/22/2020,23:00,SO2,-0.40
CUS,4/5/2020,2:00,NO,-0.40
CUS,6/12/2020,5:00,SO2,-0.40
CUS,2/23/2020,23:00,SO2,-0.39
CUS,3/23/2020,2:00,SO2,-0.39
CUS,2/12/2020,4:00,SO2,-0.39
CUS,1/12/2020,23:00,SO2,-0.39
CUS,3/4/2020,4:00,SO2,-0.39
CUS,4/13/2020,1:00,NO,-0.39
CUS,2/3/2020,18:00,SO2,-0.39
CUS,2/17/2020,4:00,SO2,-0.38
