Site,Date,Time,Parameter,Value
GLE,1/1/2006,0:00,AQI,30
GLE,1/1/2006,1:00,AQI,31
GLE,1/1/2006,2:00,AQI,31
GLE,1/1/2006,20:00,AQI,31
GLE,1/1/2006,21:00,AQI,31
GLE,1/1/2006,23:00,AQI,31
GLE,1/1/2006,3:00,AQI,32
GLE,1/1/2006,4:00,AQI,32
GLE,1/1/2006,5:00,AQI,32
GLE,1/1/2006,6:00,AQI,32
GLE,1/1/2006,7:00,AQI,32
GLE,1/1/2006,17:00,AQI,32
GLE,1/1/2006,18:00,AQI,32
GLE,1/1/2006,19:00,AQI,32
GLE,1/1/2006,22:00,AQI,32
GLE,1/1/2006,8:00,AQI,33
GLE,1/1/2006,12:00,AQI,33
GLE,1/1/2006,13:00,AQI,33
GLE,1/1/2006,14:00,AQI,33
GLE,1/1/2006,15:00,AQI,33
GLE,1/1/2006,16:00,AQI,33
GLE,1/1/2006,9:00,AQI,34
GLE,1/1/2006,10:00,AQI,34
GLE,1/1/2006,11:00,AQI,34
GLE,1/2/2006,0:00,AQI,31
GLE,1/2/2006,1:00,AQI,33
GLE,1/2/2006,2:00,AQI,33
GLE,1/2/2006,3:00,AQI,34
GLE,1/2/2006,4:00,AQI,34
GLE,1/2/2006,5:00,AQI,34
GLE,1/2/2006,9:00,AQI,34
GLE,1/2/2006,10:00,AQI,34
GLE,1/2/2006,11:00,AQI,34
GLE,1/2/2006,6:00,AQI,35
GLE,1/2/2006,7:00,AQI,35
GLE,1/2/2006,8:00,AQI,35
GLE,1/2/2006,12:00,AQI,35
GLE,1/2/2006,13:00,AQI,35
GLE,1/2/2006,22:00,AQI,35
GLE,1/2/2006,23:00,AQI,35
GLE,1/2/2006,14:00,AQI,36
GLE,1/2/2006,20:00,AQI,36
GLE,1/2/2006,21:00,AQI,36
GLE,1/2/2006,15:00,AQI,37
GLE,1/2/2006,18:00,AQI,37
GLE,1/2/2006,19:00,AQI,37
GLE,1/2/2006,16:00,AQI,38
GLE,1/2/2006,17:00,AQI,39
GLE,1/3/2006,1:00,AQI,35
GLE,1/3/2006,0:00,AQI,36
GLE,1/3/2006,2:00,AQI,36
GLE,1/3/2006,3:00,AQI,37
GLE,1/3/2006,4:00,AQI,37
GLE,1/3/2006,5:00,AQI,38
GLE,1/3/2006,6:00,AQI,38
GLE,1/3/2006,7:00,AQI,39
GLE,1/3/2006,8:00,AQI,40
GLE,1/3/2006,9:00,AQI,41
GLE,1/3/2006,10:00,AQI,43
GLE,1/3/2006,11:00,AQI,43
GLE,1/3/2006,15:00,AQI,43
GLE,1/3/2006,16:00,AQI,43
GLE,1/3/2006,17:00,AQI,43
GLE,1/3/2006,12:00,AQI,44
GLE,1/3/2006,13:00,AQI,44
GLE,1/3/2006,14:00,AQI,44
GLE,1/3/2006,18:00,AQI,45
GLE,1/3/2006,19:00,AQI,45
GLE,1/3/2006,20:00,AQI,47
GLE,1/3/2006,21:00,AQI,47
GLE,1/3/2006,23:00,AQI,47
GLE,1/3/2006,22:00,AQI,48
GLE,1/4/2006,12:00,AQI,34
GLE,1/4/2006,13:00,AQI,34
GLE,1/4/2006,16:00,AQI,34
GLE,1/4/2006,17:00,AQI,34
GLE,1/4/2006,18:00,AQI,34
GLE,1/4/2006,10:00,AQI,35
GLE,1/4/2006,11:00,AQI,35
GLE,1/4/2006,14:00,AQI,35
GLE,1/4/2006,15:00,AQI,35
GLE,1/4/2006,19:00,AQI,35
GLE,1/4/2006,20:00,AQI,35
GLE,1/4/2006,21:00,AQI,35
GLE,1/4/2006,9:00,AQI,36
GLE,1/4/2006,22:00,AQI,36
GLE,1/4/2006,23:00,AQI,36
GLE,1/4/2006,7:00,AQI,37
GLE,1/4/2006,8:00,AQI,37
GLE,1/4/2006,5:00,AQI,39
GLE,1/4/2006,6:00,AQI,39
