Site,Date,Time,Parameter,Value
HEN,1/1/2006,0:00,AQI,0
HEN,1/1/2006,1:00,AQI,0
HEN,1/1/2006,2:00,AQI,0
HEN,1/1/2006,3:00,AQI,0
HEN,1/1/2006,4:00,AQI,0
HEN,1/1/2006,5:00,AQI,0
HEN,1/1/2006,6:00,AQI,0
HEN,1/1/2006,7:00,AQI,0
HEN,1/1/2006,8:00,AQI,0
HEN,1/1/2006,9:00,AQI,0
HEN,1/1/2006,10:00,AQI,0
HEN,1/1/2006,11:00,AQI,0
HEN,1/1/2006,12:00,AQI,0
HEN,1/1/2006,13:00,AQI,1
HEN,1/1/2006,14:00,AQI,0
HEN,1/1/2006,15:00,AQI,0
HEN,1/1/2006,16:00,AQI,0
HEN,1/1/2006,17:00,AQI,0
HEN,1/1/2006,18:00,AQI,0
HEN,1/1/2006,19:00,AQI,0
HEN,1/1/2006,20:00,AQI,1
HEN,1/1/2006,21:00,AQI,1
HEN,1/1/2006,22:00,AQI,2
HEN,1/1/2006,23:00,AQI,0
HEN,1/2/2006,0:00,AQI,0
HEN,1/2/2006,1:00,AQI,1
HEN,1/2/2006,2:00,AQI,0
HEN,1/2/2006,3:00,AQI,0
HEN,1/2/2006,4:00,AQI,0
HEN,1/2/2006,5:00,AQI,0
HEN,1/2/2006,6:00,AQI,0
HEN,1/2/2006,7:00,AQI,0
HEN,1/2/2006,8:00,AQI,0
HEN,1/2/2006,9:00,AQI,0
HEN,1/2/2006,10:00,AQI,0
HEN,1/2/2006,11:00,AQI,0
HEN,1/2/2006,12:00,AQI,0
HEN,1/2/2006,13:00,AQI,0
HEN,1/2/2006,14:00,AQI,0
HEN,1/2/2006,15:00,AQI,0
HEN,1/2/2006,16:00,AQI,0
HEN,1/2/2006,17:00,AQI,0
HEN,1/2/2006,18:00,AQI,0
HEN,1/2/2006,19:00,AQI,0
HEN,1/2/2006,20:00,AQI,0
HEN,1/2/2006,21:00,AQI,0
HEN,1/2/2006,22:00,AQI,1
HEN,1/2/2006,23:00,AQI,0
HEN,1/3/2006,0:00,AQI,0
HEN,1/3/2006,1:00,AQI,0
HEN,1/3/2006,2:00,AQI,0
HEN,1/3/2006,3:00,AQI,0
HEN,1/3/2006,4:00,AQI,1
HEN,1/3/2006,5:00,AQI,1
HEN,1/3/2006,6:00,AQI,2
HEN,1/3/2006,7:00,AQI,1
HEN,1/3/2006,8:00,AQI,0
HEN,1/3/2006,9:00,AQI,0
HEN,1/3/2006,10:00,AQI,0
HEN,1/3/2006,11:00,AQI,0
HEN,1/3/2006,12:00,AQI,0
HEN,1/3/2006,13:00,AQI,0
HEN,1/3/2006,14:00,AQI,0
HEN,1/3/2006,15:00,AQI,0
HEN,1/3/2006,16:00,AQI,0
HEN,1/3/2006,17:00,AQI,1
HEN,1/3/2006,18:00,AQI,1
HEN,1/3/2006,19:00,AQI,1
HEN,1/3/2006,20:00,AQI,1
HEN,1/3/2006,21:00,AQI,1
HEN,1/3/2006,22:00,AQI,0
HEN,1/3/2006,23:00,AQI,0
HEN,1/4/2006,0:00,AQI,0
HEN,1/4/2006,1:00,AQI,0
HEN,1/4/2006,2:00,AQI,0
