datetime,bc(370),bc(880),no,no2,nox,pm2.5,so2,aqi,pm10,rh,temp,ws,co,o3,aqi_cat,wind_dir
2020-01-01T00:00:00Z,1596.97,1223.44,NA,NA,NA,9.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T01:00:00Z,1743.44,1307.68,NA,NA,NA,10.75,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T02:00:00Z,2080.71,1754.63,NA,NA,NA,9.4,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T03:00:00Z,1794.94,1421,NA,NA,NA,10.86,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T04:00:00Z,1265,900.96,NA,NA,NA,9.97,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T05:00:00Z,1299.5,1068.01,NA,NA,NA,7.3,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T06:00:00Z,2111.07,1791.77,NA,NA,NA,10.49,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T07:00:00Z,1331.48,1260.58,NA,NA,NA,7.04,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T08:00:00Z,969.64,896.84,NA,NA,NA,6.64,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T09:00:00Z,1119.79,1056.65,NA,NA,NA,7.4,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T10:00:00Z,1505.34,1388.3,NA,NA,NA,7.89,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T11:00:00Z,2088.39,2045.3,NA,NA,NA,7.39,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T12:00:00Z,978.54,899.44,NA,NA,NA,6.82,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T13:00:00Z,1474.28,1409.26,NA,NA,NA,6.2,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T14:00:00Z,1074.98,1026.67,NA,NA,NA,5.7,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T15:00:00Z,1014.93,938.95,NA,NA,NA,4.91,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T16:00:00Z,1425.31,1365.75,NA,NA,NA,4.73,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T17:00:00Z,1169.13,1057.18,NA,NA,NA,4.35,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T18:00:00Z,1255.69,1167.71,NA,NA,NA,3.36,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T19:00:00Z,884.05,843.1,NA,NA,NA,3.14,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T20:00:00Z,638.26,586.74,NA,NA,NA,3.16,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T21:00:00Z,840.26,848.89,NA,NA,NA,2.94,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T22:00:00Z,641.98,622.78,NA,NA,NA,2.64,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01T23:00:00Z,556.46,544.42,NA,NA,NA,2.4,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T00:00:00Z,105.36,109.54,NA,NA,NA,2.31,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T01:00:00Z,100.46,103.81,3.13,3.62,6.75,2.54,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T02:00:00Z,180.85,168.53,9.81,5.58,15.39,2.71,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T03:00:00Z,223.51,184.88,5.62,8.68,14.3,3.39,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T04:00:00Z,390.54,322.29,6.38,12.19,18.56,3.73,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T05:00:00Z,650.26,586.47,11.37,15.68,27.04,3.75,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T06:00:00Z,1000.52,931.11,51.93,45.15,97.08,4,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T07:00:00Z,1399.42,1323.57,35.59,32.21,67.8,3.14,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T08:00:00Z,1080,1133.41,37.71,32.6,70.31,3.58,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T09:00:00Z,859.53,813.15,31.68,28.41,60.09,3.72,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T10:00:00Z,1120.13,1035.93,37.99,27.25,65.23,3.69,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T11:00:00Z,932.96,861.41,66.38,69.71,136.09,4.01,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T12:00:00Z,1160.93,1145.19,57.78,48.41,106.19,4.13,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T13:00:00Z,1389.89,1346.31,48.67,29.17,77.84,4.04,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T14:00:00Z,973.51,939,34.96,42.28,77.24,3.44,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T15:00:00Z,795.92,757.27,67.59,31.07,98.66,3.63,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T16:00:00Z,1191.48,1125.73,38.91,47.65,86.56,3.54,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T17:00:00Z,805.42,749.41,41.83,35.66,77.49,4.19,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T18:00:00Z,1843.25,1452.73,53.89,43.05,96.94,4.35,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T19:00:00Z,993.12,957.76,24.43,24.96,49.39,4.17,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T20:00:00Z,627.71,599.67,22.56,28.05,50.61,4.08,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T21:00:00Z,622.31,580.88,20.96,24.17,45.13,3.61,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T22:00:00Z,639.19,579.88,30.04,29.9,59.94,3.48,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02T23:00:00Z,589.91,548.92,11.9,23.25,35.14,3.23,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T00:00:00Z,288.27,265.27,2.91,5.63,8.54,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T01:00:00Z,226.92,202,3.39,4.4,7.79,4.74,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T02:00:00Z,214.78,184.86,1.63,3.24,4.87,5.61,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T03:00:00Z,333.33,288.85,7.42,6.01,13.43,6.9,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T04:00:00Z,403.88,350.92,6.23,8.11,14.34,7.77,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T05:00:00Z,645.1,566.36,15.86,25.04,40.89,8.47,-0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T06:00:00Z,1971.72,1754.11,104.22,49.86,154.08,8.94,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T07:00:00Z,1729.31,1602.73,25.6,24,49.6,8.34,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T08:00:00Z,1143.35,1045.38,19.51,22.3,41.8,7.23,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T09:00:00Z,1222.68,1099.62,28.18,22.83,51.01,7.21,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T10:00:00Z,960.77,891.63,31.07,25.67,56.75,5.72,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T11:00:00Z,1335.97,1223.19,24.99,27.89,52.88,5.31,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T12:00:00Z,1555.34,1408.3,23.03,35.66,58.69,24.34,-0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T13:00:00Z,1341.09,1193.78,38.11,32.84,70.96,9.53,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T14:00:00Z,1069.93,971.93,32.46,30.7,63.16,9.14,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T15:00:00Z,1130.53,1032.15,33.6,36.43,70.02,8.84,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T16:00:00Z,981.07,883.61,29.05,29.89,58.93,8.54,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T17:00:00Z,881.22,801.68,35.52,33.15,68.67,7.85,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T18:00:00Z,789.16,712.55,27.21,31.28,58.48,8.09,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T19:00:00Z,727.24,705.42,22.71,19.79,42.5,8.19,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T20:00:00Z,785.83,765.68,23.62,23.57,47.2,7.53,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T21:00:00Z,414.74,379.04,11.63,16.17,27.8,8.69,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T22:00:00Z,384.74,325.95,7.21,12.68,19.88,9.24,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03T23:00:00Z,350.81,304.06,12.38,12.23,24.61,8.09,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04T00:00:00Z,192.07,175.66,NA,33.4,NA,7.03,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
