datetime,bc(370),bc(880),no,no2,nox,pm2.5,so2,aqi,pm10,rh,temp,ws,co,o3,aqi_cat,wind_dir
2016-01-01T00:00:00Z,NA,NA,0.2,0.3,0.6,1.3,NA,NA,5.8,NA,NA,NA,NA,22,NA,NA
2016-01-01T01:00:00Z,NA,NA,0.1,0.9,1,5.5,NA,NA,24.6,NA,NA,NA,NA,38,NA,NA
2016-01-01T02:00:00Z,NA,NA,0.2,1,1.2,13.5,NA,NA,25.2,NA,NA,NA,NA,38,NA,NA
2016-01-01T03:00:00Z,NA,NA,0.2,1,1.1,12.4,NA,NA,17.5,NA,NA,NA,NA,37,NA,NA
2016-01-01T04:00:00Z,NA,NA,0.4,0.8,1.2,10.5,NA,NA,16.2,NA,NA,NA,NA,35,NA,NA
2016-01-01T05:00:00Z,NA,NA,0.2,0.9,1.2,-2.9,NA,NA,17.4,NA,NA,NA,NA,33,NA,NA
2016-01-01T06:00:00Z,NA,NA,0.3,1,1.3,5.3,NA,NA,8.4,NA,NA,NA,NA,32,NA,NA
2016-01-01T07:00:00Z,NA,NA,0.2,0.8,1,0.9,NA,NA,14.8,NA,NA,NA,NA,34,NA,NA
2016-01-01T08:00:00Z,NA,NA,0.2,0.9,1.1,11.8,NA,NA,10,NA,NA,NA,NA,33,NA,NA
2016-01-01T09:00:00Z,NA,NA,0.4,1.2,1.6,4.7,NA,NA,17.2,NA,NA,NA,NA,34,NA,NA
2016-01-01T10:00:00Z,NA,NA,0.3,1.1,1.5,6,NA,NA,14.2,NA,NA,NA,NA,35,NA,NA
2016-01-01T11:00:00Z,NA,NA,0.6,1.7,2.3,2.2,NA,NA,7.8,NA,NA,NA,NA,36,NA,NA
2016-01-01T12:00:00Z,NA,NA,0.6,1.7,2.3,5.4,NA,NA,8,NA,NA,NA,NA,32,NA,NA
2016-01-01T13:00:00Z,NA,NA,0.6,1.6,2.2,1.8,NA,NA,1.9,NA,NA,NA,NA,31,NA,NA
2016-01-01T14:00:00Z,NA,NA,0.6,1.2,1.8,1.5,NA,NA,4.2,NA,NA,NA,NA,39,NA,NA
2016-01-01T15:00:00Z,NA,NA,0.4,1,1.4,2.7,NA,NA,-1.2,NA,NA,NA,NA,36,NA,NA
2016-01-01T16:00:00Z,NA,NA,0.4,1.1,1.6,2.2,NA,NA,3.8,NA,NA,NA,NA,34,NA,NA
2016-01-01T17:00:00Z,NA,NA,0.4,1.2,1.6,0.6,NA,NA,0.7,NA,NA,NA,NA,30,NA,NA
2016-01-01T18:00:00Z,NA,NA,0.5,1.5,2,-2.6,NA,NA,0.5,NA,NA,NA,NA,27,NA,NA
2016-01-01T19:00:00Z,NA,NA,0.4,1.9,2.4,1,NA,NA,5.3,NA,NA,NA,NA,26,NA,NA
2016-01-01T20:00:00Z,NA,NA,0.3,1.7,2.1,1.2,NA,NA,-1.2,NA,NA,NA,NA,25,NA,NA
2016-01-01T21:00:00Z,NA,NA,0.2,1.1,1.3,-2.5,NA,NA,2.2,NA,NA,NA,NA,26,NA,NA
2016-01-01T22:00:00Z,NA,NA,0.3,0.7,1,-0.6,NA,NA,1.7,NA,NA,NA,NA,25,NA,NA
2016-01-01T23:00:00Z,NA,NA,0.3,0.5,0.8,1.8,NA,NA,1.3,NA,NA,NA,NA,23,NA,NA
2016-01-02T00:00:00Z,NA,NA,0.4,1.6,2,3.9,NA,NA,1.7,NA,NA,NA,NA,18,NA,NA
2016-01-02T01:00:00Z,NA,NA,0.4,0.2,0.6,8.9,NA,NA,4.7,NA,NA,NA,NA,22,NA,NA
2016-01-02T02:00:00Z,NA,NA,0.2,0.4,0.5,2.8,NA,NA,8.3,NA,NA,NA,NA,22,NA,NA
2016-01-02T03:00:00Z,NA,NA,0.2,0.7,0.9,3.5,NA,NA,10.8,NA,NA,NA,NA,21,NA,NA
2016-01-02T04:00:00Z,NA,NA,0.4,0.3,0.7,0,NA,NA,7.4,NA,NA,NA,NA,20,NA,NA
2016-01-02T05:00:00Z,NA,NA,0.2,0.3,0.5,3.7,NA,NA,3.4,NA,NA,NA,NA,21,NA,NA
2016-01-02T06:00:00Z,NA,NA,0.3,0.4,0.8,4.6,NA,NA,10.8,NA,NA,NA,NA,20,NA,NA
2016-01-02T07:00:00Z,NA,NA,0.4,0.4,0.8,4.2,NA,NA,9,NA,NA,NA,NA,20,NA,NA
2016-01-02T08:00:00Z,NA,NA,0.3,0.3,0.6,-1.9,NA,NA,1,NA,NA,NA,NA,21,NA,NA
2016-01-02T09:00:00Z,NA,NA,0.5,0.7,1.2,6.8,NA,NA,7.1,NA,NA,NA,NA,24,NA,NA
2016-01-02T10:00:00Z,NA,NA,0.3,0.5,0.8,0.2,NA,NA,1.2,NA,NA,NA,NA,30,NA,NA
2016-01-02T11:00:00Z,NA,NA,0.3,0.6,0.9,1.3,NA,NA,3.2,NA,NA,NA,NA,39,NA,NA
2016-01-02T12:00:00Z,NA,NA,0.3,0.6,0.9,2.8,NA,NA,6.2,NA,NA,NA,NA,38,NA,NA
2016-01-02T13:00:00Z,NA,NA,0.4,0.6,1,1.1,NA,NA,3.6,NA,NA,NA,NA,34,NA,NA
2016-01-02T14:00:00Z,NA,NA,0.3,0.6,0.9,7.9,NA,NA,8.2,NA,NA,NA,NA,34,NA,NA
2016-01-02T15:00:00Z,NA,NA,0.4,0.6,1,0.8,NA,NA,2.2,NA,NA,NA,NA,31,NA,NA
2016-01-02T16:00:00Z,NA,NA,0.3,0.6,0.9,4.1,NA,NA,0.3,NA,NA,NA,NA,29,NA,NA
2016-01-02T17:00:00Z,NA,NA,0.3,0.5,0.8,-1.1,NA,NA,5,NA,NA,NA,NA,30,NA,NA
2016-01-02T18:00:00Z,NA,NA,0.2,0.7,0.9,2,NA,NA,3.1,NA,NA,NA,NA,32,NA,NA
2016-01-02T19:00:00Z,NA,NA,0.3,0.6,0.9,1.3,NA,NA,3,NA,NA,NA,NA,27,NA,NA
2016-01-02T20:00:00Z,NA,NA,0.3,1.9,2.2,0.6,NA,NA,4.2,NA,NA,NA,NA,21,NA,NA
2016-01-02T21:00:00Z,NA,NA,0.4,2,2.3,0.7,NA,NA,2.7,NA,NA,NA,NA,22,NA,NA
2016-01-02T22:00:00Z,NA,NA,0.4,1.9,2.3,0.5,NA,NA,3.2,NA,NA,NA,NA,19,NA,NA
2016-01-02T23:00:00Z,NA,NA,0.4,1.8,2.2,1.3,NA,NA,-0.6,NA,NA,NA,NA,18,NA,NA
2016-01-03T00:00:00Z,NA,NA,0.5,2.4,2.9,1.2,NA,NA,4.8,NA,NA,NA,NA,21,NA,NA
2016-01-03T01:00:00Z,NA,NA,0.4,1,1.4,2.9,NA,NA,-3.6,NA,NA,NA,NA,18,NA,NA
2016-01-03T02:00:00Z,NA,NA,0.2,0.7,0.9,0.4,NA,NA,3.7,NA,NA,NA,NA,18,NA,NA
2016-01-03T03:00:00Z,NA,NA,0.4,1.3,1.7,-0.5,NA,NA,2.4,NA,NA,NA,NA,18,NA,NA
2016-01-03T04:00:00Z,NA,NA,0.3,0.7,1,0.9,NA,NA,0.9,NA,NA,NA,NA,20,NA,NA
2016-01-03T05:00:00Z,NA,NA,0.3,0.4,0.7,3.8,NA,NA,3.4,NA,NA,NA,NA,20,NA,NA
