datetime,bc(370),bc(880),no,no2,nox,pm2.5,so2,aqi,pm10,rh,temp,ws,co,o3,aqi_cat,wind_dir
2016-01-01T00:00:00Z,NA,NA,0.2,0.4,0.6,1.7,0.1,NA,12.8,92.4,18,5.2,NA,NA,NA,68
2016-01-01T01:00:00Z,NA,NA,0.5,1.1,1.6,21,0.3,NA,27.2,72.1,19,3.7,NA,NA,NA,72
2016-01-01T02:00:00Z,NA,NA,0.7,0.5,1.2,17.8,0.3,NA,29.2,70.2,19,4.4,NA,NA,NA,72
2016-01-01T03:00:00Z,NA,NA,0.5,0.8,1.4,10.6,0.4,NA,18.2,70.2,19,3.8,NA,NA,NA,72
2016-01-01T04:00:00Z,NA,NA,0.3,0.4,0.7,8.9,0,NA,17.4,69.6,19,3.9,NA,NA,NA,71
2016-01-01T05:00:00Z,NA,NA,0.3,0.4,0.7,10.5,0.2,NA,21.4,70.2,18,4.2,NA,NA,NA,70
2016-01-01T06:00:00Z,NA,NA,0.5,0.4,0.9,9.8,0.4,NA,21.8,71.5,18,3.5,NA,NA,NA,69
2016-01-01T07:00:00Z,NA,NA,0.6,0.5,1.1,12.6,0.5,NA,34,72.4,19,4.2,NA,NA,NA,66
2016-01-01T08:00:00Z,NA,NA,0.3,1,1.2,14.4,0.4,NA,36.3,74.2,18,4.7,NA,NA,NA,63
2016-01-01T09:00:00Z,NA,NA,0.3,1.1,1.4,8,0.2,NA,27.4,88.4,17,4,NA,NA,NA,60
2016-01-01T10:00:00Z,NA,NA,0.8,0.9,1.7,3.2,0.1,NA,17.2,90.9,16,4.7,NA,NA,NA,60
2016-01-01T11:00:00Z,NA,NA,0.7,1.3,2,0,0.2,NA,8.3,94.8,16,3.6,NA,NA,NA,66
2016-01-01T12:00:00Z,NA,NA,0.5,1.5,2.1,4.6,0.1,NA,12,94.3,16,3.5,NA,NA,NA,66
2016-01-01T13:00:00Z,NA,NA,0.5,1.9,2.4,6.2,0.1,NA,3.8,93.7,17,3.4,NA,NA,NA,74
2016-01-01T14:00:00Z,NA,NA,0.6,1.7,2.4,1.4,0.3,NA,11.6,90.5,17,3.7,NA,NA,NA,69
2016-01-01T15:00:00Z,NA,NA,0.6,1.6,2.2,8.2,0.2,NA,17.2,85.2,18,4.1,NA,NA,NA,71
2016-01-01T16:00:00Z,NA,NA,0.7,1.5,2.2,10.2,0.1,NA,9.3,89.9,17,4.6,NA,NA,NA,65
2016-01-01T17:00:00Z,NA,NA,0.6,1.5,2.1,4.5,0.2,NA,3.2,90,18,4.1,NA,NA,NA,62
2016-01-01T18:00:00Z,NA,NA,0.5,1.4,1.9,3.5,0.1,NA,9.2,88.7,18,4.1,NA,NA,NA,62
2016-01-01T19:00:00Z,NA,NA,0.5,1.1,1.6,2.1,0.2,NA,4.4,89.6,18,4.8,NA,NA,NA,61
2016-01-01T20:00:00Z,NA,NA,0.5,1.2,1.7,4.7,0.2,NA,4.7,90.6,18,4.3,NA,NA,NA,59
2016-01-01T21:00:00Z,NA,NA,0.5,1.2,1.7,-0.1,0.2,NA,4.8,92,18,3.6,NA,NA,NA,64
2016-01-01T22:00:00Z,NA,NA,0.5,1.1,1.6,4.9,0.1,NA,11.8,93.4,18,2.4,NA,NA,NA,60
2016-01-01T23:00:00Z,NA,NA,0.6,0.8,1.4,4.7,0.1,NA,15.8,92.2,18,3.9,NA,NA,NA,45
2016-01-02T00:00:00Z,NA,NA,0.5,0.9,1.4,3.6,0.6,NA,4.4,98.2,18,2.3,NA,NA,NA,39
2016-01-02T01:00:00Z,NA,NA,0.5,0.4,0.8,18.7,0.1,NA,22.5,93.9,18,4.5,NA,NA,NA,32
2016-01-02T02:00:00Z,NA,NA,0.4,0.5,0.9,7.7,0.1,NA,16.2,94.1,18,4.9,NA,NA,NA,35
2016-01-02T03:00:00Z,NA,NA,0.4,0.7,1.1,2.7,0.1,NA,15.1,94.6,18,4.5,NA,NA,NA,37
2016-01-02T04:00:00Z,NA,NA,0.4,1.2,1.7,7.4,0.5,NA,18.1,95.2,18,4.2,NA,NA,NA,38
2016-01-02T05:00:00Z,NA,NA,0.3,0.6,1,5.4,0.3,NA,22.1,95.1,18,4.5,NA,NA,NA,39
2016-01-02T06:00:00Z,NA,NA,0.4,0.5,0.9,7.2,0.5,NA,15,94.9,18,4.5,NA,NA,NA,39
2016-01-02T07:00:00Z,NA,NA,0.7,1.2,1.9,3.4,0.5,NA,11.5,93.8,18,4.1,NA,NA,NA,44
2016-01-02T08:00:00Z,NA,NA,0.7,1.4,2,7.4,0.5,NA,9.2,93.9,18,3.6,NA,NA,NA,40
2016-01-02T09:00:00Z,NA,NA,0.6,1.7,2.3,1.1,0.5,NA,12.4,93.9,17,4.1,NA,NA,NA,49
2016-01-02T10:00:00Z,NA,NA,0.6,1.6,2.2,4.6,0.4,NA,8.6,92.8,17,4.4,NA,NA,NA,50
2016-01-02T11:00:00Z,NA,NA,0.9,2.1,2.9,5.1,0.5,NA,10,91.2,17,4.5,NA,NA,NA,51
2016-01-02T12:00:00Z,NA,NA,0.8,2,2.7,3.9,0.4,NA,6,91.7,17,4.3,NA,NA,NA,50
2016-01-02T13:00:00Z,NA,NA,0.6,1.8,2.4,1.8,0.6,NA,13,91.1,17,4.3,NA,NA,NA,50
